keywords,body_part,department,doctor_time,advice,warning
"脖子痛,頸部痠痛,手麻,落枕,頸椎退化,椎間盤突出,骨刺,頸椎脊髓病變,後縱韌帶鈣化",頸椎,脊椎外科,高醫師(早/下)、謝醫師(下/晚),建議掛脊椎外科評估，必要時安排影像檢查(X光／MRI),若出現手部麻木無力持續加重或步態不穩，請盡快就醫
"下背痛,腰痛,坐骨神經痛,腳麻,腰椎退化,腰椎滑脫,脊椎滑脫,脊椎狹窄,骨刺",腰椎,脊椎外科,高醫師(早/下)、謝醫師(下/晚),建議掛脊椎外科，避免久坐久站並注意姿勢,若出現大小便失禁或下肢無力癱瘓，屬於急症，請立即就醫
"脊椎側彎,駝背,脊椎畸形,青少年脊椎側彎,姿勢不良合併脊椎變形",脊椎,脊椎外科,高醫師(早/下)、謝醫師(下/晚),建議掛脊椎外科評估側彎角度，必要時安排X光追蹤或矯正治療,若側彎快速惡化或合併呼吸困難，請盡快就醫
"骨質疏鬆壓迫性骨折,脊椎壓迫性骨折,脊椎腫瘤,脊椎感染,脊椎創傷,脊椎骨折,脊椎內視鏡手術,顯微脊椎手術,微創脊椎手術",脊椎,脊椎外科,高醫師(早/下)、謝醫師(下/晚),建議掛脊椎外科評估是否需手術治療(如脊椎內視鏡、顯微或微創手術),若合併發燒、劇烈疼痛或神經症狀惡化，請盡快就醫
"肩膀痛,五十肩,舉手困難,夜間痛,肩膀運動傷害,旋轉肌破裂,旋轉肌袖損傷,旋轉肌修補",肩關節,運動醫學科,曾醫師(早/晚)、蔡醫師(下),建議掛運動醫學科評估旋轉肌袖狀況，必要時安排超音波或MRI,若因外傷造成且完全無法抬手，請盡快就醫排除骨折
"網球肘,手肘外側痛,高爾夫球肘,手肘運動傷害",肘腕,運動醫學科,曾醫師(早/晚)、蔡醫師(下),建議掛運動醫學科評估，可先減少重複性動作並冰敷,若疼痛持續加劇或合併手臂無力，請盡快就醫
"膝部運動傷害,前十字韌帶損傷,前十字韌帶重建,半月板損傷,軟骨損傷,膝蓋扭傷,韌帶撕裂",膝關節,運動醫學科,曾醫師(早/晚)、蔡醫師(下),建議掛運動醫學科評估韌帶及半月板狀況，必要時安排關節鏡手術,若膝蓋無法伸直彎曲、明顯腫脹或無法承重，請盡快就醫
"肩關節鏡,膝關節鏡,踝關節鏡,腕關節鏡,軟骨移植,運動功能重建,肌腱損傷,韌帶損傷",全身關節,運動醫學科,曾醫師(早/晚)、蔡醫師(下),建議掛運動醫學科評估是否適合關節鏡微創手術,若合併關節劇烈腫脹發熱，請盡快就醫
"膝蓋痛,退化性關節炎,膝蓋腫,上下樓梯痛,關節退化,髖關節退化,踝關節退化,肩關節退化",膝關節,關節重建科,林醫師(早/下)、鍾醫師(晚),建議掛關節重建科，可先冰敷並減少負重活動,若膝蓋明顯變形、劇烈腫脹或無法伸直彎曲，請盡快就醫
"人工髖關節置換,人工膝關節置換,人工踝關節置換,關節重建手術,微創人工關節手術,換人工關節",髖關節,關節重建科,林醫師(早/下)、鍾醫師(晚),建議掛關節重建科評估是否需人工關節置換手術，可討論微創手術選項,若無法站立或負重行走，請盡快就醫
